Locus_ID,Assembly_chainid,Assembly_speciestaxid
NZ_CP011048,982825,28141
NZ_CP011049,982825,28141
NZ_CP011050,982825,28141
NZ_CP012254,1277275,28141
NZ_CP012255,1277275,28141
NZ_CP012256,1277275,28141
NZ_CP012258,1277175,535744
NZ_CP016283,1679725,670052
NZ_CP016284,1679725,670052
NZ_CP021994,2205495,1978566
NZ_CP021993,2205495,1978566
NZ_CP017760,2011925,2036817
NZ_CP017759,2011925,2036817
NZ_CP017756,1854325,367825
NZ_CP017750,1854305,876364
NZ_CP017753,1854285,1389192
NZ_CP018784,2025645,69373
NZ_CP012356,1469565,1747
NZ_CP012662,1620265,1335048
NZ_CP012663,1620265,1335048
NZ_CP012664,1620265,1335048
NZ_CP011128,1610775,61435
NZ_CP015084,1638825,1299
NZ_CP015083,1638825,1299
NZ_CP008890,725405,1274
NZ_CP007052,517565,33002
NZ_CP006665,264765,1821960
NZ_CP006666,264765,1821960
NZ_CP016445,1729265,1263550
NZ_CP016375,2022085,1117645
NZ_CP014607,1584725,243899
NZ_CP015881,697965,106592
NZ_CP015882,697965,106592
NZ_CP023069,2288525,716925
NZ_CP023068,2288525,716925
NZ_CP014747,1593585,548
NZ_CP011864,1521715,61645
NZ_CP011865,1521715,61645
NZ_CP011866,1521715,61645
NZ_CP011867,1521715,61645
NZ_CP011586,1022095,61645
NZ_CP011585,1022095,61645
NZ_CP011587,1022095,61645
NZ_CP011588,1022095,61645
NZ_CP011590,1022095,61645
NZ_CP011589,1022095,61645
NZ_CP017187,1729745,1812934
NZ_CP017185,1729805,1812935
NZ_CP012163,807415,1870930
NZ_CP012164,807415,1870930
NZ_CP017991,2208095,1915310
NZ_CP017992,2208095,1915310
NZ_CP017993,2208095,1915310
NZ_CP008824,724505,550
NZ_CP008825,724505,550
NZ_CP008826,724505,550
NZ_CP008898,750225,1812934
NZ_CP008899,750225,1812934
NZ_CP008900,750225,1812934
NZ_CP008901,750225,1812934
NZ_CP008906,750275,1812934
NZ_CP008907,750275,1812934
NZ_CP008908,750275,1812934
NZ_CP022149,2211685,550
NZ_CP022150,2211685,550
NZ_CP018815,1922365,550
NZ_CP021897,2201815,550
NZ_CP021898,2201815,550
NZ_CP021899,2201815,550
NZ_CP021777,2192395,550
NZ_CP021778,2192395,550
NZ_CP021779,2192395,550
NZ_CP020054,2055735,550
NZ_CP021900,2204775,550
NZ_CP021901,2204775,550
NZ_CP021750,2192355,550
NZ_CP011569,1022015,550
NZ_CP011570,1022015,550
NZ_CP011571,1022015,550
NZ_CP011579,1022075,550
NZ_CP011580,1022075,550
NZ_CP011583,1022055,550
NZ_CP011582,1022055,550
NZ_CP011648,1022255,550
NZ_CP011649,1022255,550
NZ_CP009851,784865,550
NZ_CP009852,784865,550
NZ_CP009853,784865,550
NZ_CP009855,784905,550
NZ_CP009856,784905,550
NZ_CP009857,784905,550
NZ_CP009858,784905,550
NZ_CP017473,2303275,550
NZ_CP022533,2237465,550
NZ_CP022534,2237465,550
NZ_CP019840,2007805,550
NZ_CP019841,2007805,550
NZ_CP019842,2007805,550
NZ_CP019843,2007805,550
NZ_CP010380,814205,158836
NZ_CP010379,814205,158836
NZ_CP010378,814205,158836
NZ_CP010385,814225,158836
NZ_CP010386,814225,158836
NZ_CP010387,814225,158836
NZ_CP010363,NA,NA
NZ_CP012166,807405,158836
NZ_CP010364,NA,NA
NZ_CP010367,NA,NA
NZ_CP010365,NA,NA
NZ_CP012170,814125,158836
NZ_CP010374,NA,NA
NZ_CP012169,807425,158836
NZ_CP012168,807425,158836
NZ_CP010381,NA,NA
NZ_CP010382,NA,NA
NZ_CP017182,1729765,208224
NZ_CP017280,1750725,299767
